Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
What is the number of countries with more than 2 car makers ?,medium,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT COUNT(*) FROM (   SELECT country   FROM car_makers   GROUP BY country   HAVING COUNT(id) > 2 ) AS country_car_makers,NULL,0,0
How many cars has over 6 cylinders?,easy,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,SELECT COUNT(*)  FROM cars_data  WHERE cylinders > 6,SELECT COUNT(*) FROM cars_data WHERE cylinders > 6,1,1
What is the number of carsw ith over 6 cylinders?,easy,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,SELECT COUNT(*)  FROM cars_data  WHERE cylinders > 6,SELECT COUNT(*) FROM cars_data WHERE cylinders > 6,1,1
"For the cars with 4 cylinders, which model has the largest horsepower?",extra,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"SELECT model, horsepower FROM cars_data cd JOIN model_list ml ON cd.makeid = ml.modelid WHERE cylinders = 4 ORDER BY horsepower DESC LIMIT 1",SELECT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.makeid = T2.modelid WHERE T1.cylinders = 4 ORDER BY T1.horsepower DESC LIMIT 1,0,0
"For all of the 4 cylinder cars, which model has the most horsepower?",extra,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"SELECT model, horsepower FROM cars_data cd JOIN model_list ml ON cd.makeid = ml.modelid WHERE cylinders = 4 ORDER BY horsepower DESC LIMIT 1",SELECT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.makeid = T2.modelid WHERE T1.cylinders = 4 ORDER BY T1.horsepower DESC LIMIT 1,0,0
"Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.",extra,"SELECT T2.MakeId ,  T2.Make FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Horsepower  >  (SELECT min(Horsepower) FROM CARS_DATA) AND T1.Cylinders  <=  3;","SELECT cn.makeid, cn.make FROM car_names cn JOIN cars_data cd ON cn.makeid = cd.id WHERE cd.horsepower > (SELECT MIN(horsepower) FROM cars_data) AND cd.cylinders <= 3","SELECT T1.makeid, T3.make FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.id = T2.makeid INNER JOIN car_makers AS T3 ON T2.maker = T3.id WHERE T1.horsepower > (SELECT MIN(horsepower) FROM cars_data) AND T1.cylinders <= 3",1,0
"Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",extra,"select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;","SELECT c.makeid, c.make FROM cars_data cd JOIN car_names c ON cd.id = c.makeid WHERE cd.horsepower <> (SELECT MIN(horsepower) FROM cars_data) AND cd.cylinders < 4","SELECT T1.makeid, T2.make FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.model = T2.model WHERE T1.horsepower <> (SELECT MIN(horsepower) FROM cars_data) AND T1.cylinders < 4",1,0
What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980 ?,medium,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,SELECT MAX(mpg) AS max_mpg FROM cars_data WHERE cylinders = 8 OR year < 1980,SELECT MAX(T1.mpg) FROM cars_data AS T1 WHERE T1.cylinders = 8 OR T1.year < 1980,1,1
What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980 ?,medium,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,SELECT MAX(mpg) AS max_mpg FROM cars_data WHERE cylinders = 8 OR year < 1980,SELECT MAX(T1.mpg) FROM cars_data AS T1 WHERE T1.cylinders = 8 OR T1.year < 1980,1,1
Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,extra,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT DISTINCT ml.model FROM model_list ml JOIN car_makers cm ON ml.maker = cm.maker JOIN cars_data cd ON ml.model = cd.make WHERE cd.weight < 3500 AND cm.maker != 'Ford Motor Company',SELECT DISTINCT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.model = T2.model WHERE T1.weight < 3500 AND T2.maker != 'Ford Motor Company',0,0
What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,extra,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT DISTINCT ml.model FROM model_list ml JOIN car_makers cm ON ml.maker = cm.maker JOIN cars_data cd ON ml.model = cd.make WHERE cd.weight < 3500 AND cm.maker != 'Ford Motor Company',SELECT DISTINCT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.make = T2.maker INNER JOIN car_makers AS T3 ON T2.maker = T3.maker WHERE T1.weight < 3500 AND T3.fullname != 'Ford Motor Company',0,0
What are the name of the countries where there is not a single car maker?,hard,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryid NOT IN (SELECT country FROM car_makers),SELECT T2.countryname FROM countries AS T2 LEFT JOIN car_makers AS T1 ON T2.countryid = T1.country WHERE T1.id IS NULL,1,1
What are the names of the countries with no car makers?,hard,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryname NOT IN (   SELECT country   FROM car_makers ),NULL,0,0
Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,extra,"select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;","SELECT cm.id, cm.maker FROM car_makers cm JOIN model_list ml ON cm.maker = ml.maker GROUP BY cm.id, cm.maker HAVING COUNT(ml.modelid) >= 2 AND COUNT(cm.id) > 3",NULL,0,0
What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,extra,"SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >=  2 INTERSECT SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model GROUP BY T1.Id HAVING count(*)  >  3;","SELECT cm.id, cm.maker FROM car_makers cm JOIN model_list ml ON cm.maker = ml.maker JOIN car_names cn ON ml.model = cn.model GROUP BY cm.id, cm.maker HAVING COUNT(DISTINCT ml.model) >= 2 AND COUNT(cn.makeid) > 3",NULL,0,0
What are the id and names of the countries which have more than 3 car makers or produce the 'fiat' model?,extra,"SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.countryId HAVING count(*)  >  3 UNION SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country JOIN MODEL_LIST AS T3 ON T2.Id  =  T3.Maker WHERE T3.Model  =  'fiat';","SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.country = cm.maker WHERE cm.maker IN (SELECT maker FROM car_makers WHERE maker = 'fiat') OR cm.maker IN (SELECT maker FROM car_makers GROUP BY maker HAVING COUNT(*) > 3)",NULL,0,0
What are the ids and names of all countries that either have more than 3 car makers or produce fiat model ?,extra,"select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  3 union select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country join model_list as t3 on t2.id  =  t3.maker where t3.model  =  'fiat';","SELECT c.countryid, c.countryname FROM countries c JOIN car_makers cm ON c.country = cm.country WHERE cm.maker = 'Fiat' OR (SELECT COUNT(*) FROM car_makers WHERE country = c.country) > 3","SELECT T2.countryid, T2.countryname FROM countries AS T2 INNER JOIN car_makers AS T1 ON T2.country = T1.maker WHERE T1.maker = 'Fiat' OR (SELECT COUNT(*) FROM car_makers AS T3 WHERE T3.country = T2.countryid) > 3",0,0
"Which country does Airline ""JetBlue Airways"" belong to?",easy,"SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",SELECT country FROM airlines WHERE airline = 'JetBlue Airways',SELECT country FROM airlines WHERE airline = 'JetBlue Airways',1,1
What country is Jetblue Airways affiliated with?,easy,"SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",SELECT country FROM airlines WHERE airline = 'Jetblue Airways',SELECT country FROM airlines WHERE abbreviation = 'B6',0,0
"What is the abbreviation of Airline ""JetBlue Airways""?",easy,"SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",SELECT abbreviation FROM airlines WHERE airline = 'JetBlue Airways',SELECT abbreviation FROM airlines WHERE airline = 'JetBlue Airways',1,1
Which abbreviation corresponds to Jetblue Airways?,easy,"SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",SELECT abbreviation FROM airlines WHERE airline = 'Jetblue Airways',SELECT abbreviation FROM airlines WHERE airline = 'Jetblue Airways',0,0
"List all airline names and their abbreviations in ""USA"".",medium,"SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""","SELECT airline, abbreviation  FROM airlines  WHERE country = 'USA'","SELECT airline, abbreviation FROM airlines WHERE country = 'USA'",1,1
What are the airline names and abbreviations for airlines in the USA?,medium,"SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""","SELECT airline, abbreviation FROM airlines WHERE country = 'USA'","SELECT airline, abbreviation FROM airlines WHERE country = 'USA'",1,1
List the airport code and name in the city of Anthony.,medium,"SELECT AirportCode ,  AirportName FROM AIRPORTS WHERE city  =  ""Anthony""","SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'","SELECT T2.airportcode, T2.airportname FROM airports AS T2 INNER JOIN flights AS T1 ON T1.sourceairport = T2.airportcode WHERE T2.city = 'Anthony'",1,1
Give the airport code and airport name corresonding to the city Anthony.,medium,"SELECT AirportCode ,  AirportName FROM AIRPORTS WHERE city  =  ""Anthony""","SELECT airportcode, airportname FROM airports WHERE city = 'Anthony'","SELECT a.airportcode, a.airportname FROM airports a INNER JOIN (SELECT city, airportcode FROM airports WHERE city = 'Anthony') b ON a.city = b.city",1,1
How many airlines do we have?,easy,SELECT count(*) FROM AIRLINES,SELECT COUNT(*) AS NumberOfAirlines FROM airlines,SELECT COUNT(*) FROM airlines,1,1
What is the total number of airlines?,easy,SELECT count(*) FROM AIRLINES,SELECT COUNT(*) FROM airlines,SELECT COUNT(*) FROM airlines,1,1
How many airports do we have?,easy,SELECT count(*) FROM AIRPORTS,SELECT COUNT(*) FROM airports,SELECT COUNT(*) FROM airports,1,1
Return the number of  airports.,easy,SELECT count(*) FROM AIRPORTS,SELECT COUNT(*) FROM airports,SELECT COUNT(*) FROM airports,1,1
How many flights do we have?,easy,SELECT count(*) FROM FLIGHTS,SELECT COUNT(*) FROM flights,SELECT COUNT(*) FROM flights,1,1
Return the number of flights.,easy,SELECT count(*) FROM FLIGHTS,SELECT COUNT(*) FROM flights,SELECT COUNT(*) FROM flights,1,1
Which airline has abbreviation 'UAL'?,easy,"SELECT Airline FROM AIRLINES WHERE Abbreviation  =  ""UAL""",SELECT airline FROM airlines WHERE abbreviation = 'UAL',SELECT airline FROM airlines WHERE abbreviation = 'UAL',1,1
Give the airline with abbreviation 'UAL'.,easy,"SELECT Airline FROM AIRLINES WHERE Abbreviation  =  ""UAL""",SELECT airline FROM airlines WHERE abbreviation = 'UAL',SELECT * FROM airlines WHERE abbreviation = 'UAL',1,0
How many airlines are from USA?,easy,"SELECT count(*) FROM AIRLINES WHERE Country  =  ""USA""",SELECT COUNT(*) FROM airlines WHERE country = 'USA',SELECT COUNT(*) FROM airlines WHERE country = 'USA',1,1
Return the number of airlines in the USA.,easy,"SELECT count(*) FROM AIRLINES WHERE Country  =  ""USA""",SELECT COUNT(*) FROM airlines WHERE country = 'USA',SELECT COUNT(*) FROM airlines WHERE country = 'USA',1,1
Which city and country is the Alton airport at?,medium,"SELECT City ,  Country FROM AIRPORTS WHERE AirportName  =  ""Alton""","SELECT city, country FROM airports WHERE airportname = 'Alton'","SELECT a.city, a.country FROM airports a WHERE a.airportname = 'Alton'",1,1
Give the city and country for the Alton airport.,medium,"SELECT City ,  Country FROM AIRPORTS WHERE AirportName  =  ""Alton""","SELECT city, country  FROM airports  WHERE airportname = 'Alton'","SELECT city, country FROM airports WHERE airportname = 'Alton'",1,1
What is the airport name for airport 'AKO'?,easy,"SELECT AirportName FROM AIRPORTS WHERE AirportCode  =  ""AKO""",SELECT airportname FROM airports WHERE airportcode = 'AKO',SELECT T2.airportname FROM airports AS T2 WHERE T2.airportcode = 'AKO',1,1
Return the name of the airport with code 'AKO'.,easy,"SELECT AirportName FROM AIRPORTS WHERE AirportCode  =  ""AKO""",SELECT airportname FROM airports WHERE airportcode = 'AKO',SELECT T2.airportname FROM airports AS T2 WHERE T2.airportcode = 'AKO',1,1
What are airport names at City 'Aberdeen'?,easy,"SELECT AirportName FROM AIRPORTS WHERE City = ""Aberdeen""",SELECT airportname FROM airports WHERE city = 'Aberdeen',SELECT T2.airportname FROM flights AS T1 INNER JOIN airports AS T2 ON T1.destairport = T2.airportcode WHERE T2.city = 'Aberdeen',1,1
What are the names of airports in Aberdeen?,easy,"SELECT AirportName FROM AIRPORTS WHERE City = ""Aberdeen""",SELECT airportname FROM airports WHERE city = 'Aberdeen',SELECT T2.airportname FROM flights AS T1 INNER JOIN airports AS T2 ON T1.destairport = T2.airportcode WHERE T2.city = 'Aberdeen',1,1
How many flights depart from 'APG'?,easy,"SELECT count(*) FROM FLIGHTS WHERE SourceAirport  =  ""APG""",SELECT COUNT(*) FROM flights WHERE sourceairport = 'APG',SELECT COUNT(*) FROM flights WHERE sourceairport = 'APG',1,1
Count the number of flights departing from 'APG'.,easy,"SELECT count(*) FROM FLIGHTS WHERE SourceAirport  =  ""APG""",SELECT COUNT(*) FROM flights WHERE sourceairport = 'APG',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.sourceairport = T2.airportcode WHERE T2.airportcode = 'APG',1,1
How many flights have destination ATO?,easy,"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",SELECT COUNT(*) FROM flights WHERE destairport = 'ATO',SELECT COUNT(*) FROM flights WHERE destairport = 'ATO',1,1
Count the number of flights into ATO.,easy,"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",SELECT COUNT(*) FROM flights WHERE destairport = 'ATO',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.destairport = T2.airportcode WHERE T2.airportname = 'ATO',1,1
How many flights depart from City Aberdeen?,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",SELECT COUNT(*) AS NumberOfFlights FROM flights f JOIN airports a ON f.sourceairport = a.airportcode WHERE a.city = 'Aberdeen',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.sourceairport = T2.airportcode WHERE T2.city = 'Aberdeen',1,1
Return the number of flights departing from Aberdeen.,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",SELECT COUNT(*) FROM flights WHERE sourceairport = 'Aberdeen',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.sourceairport = T2.airportcode WHERE T2.city = 'Aberdeen',1,1
How many flights arriving in Aberdeen city?,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",SELECT COUNT(*) FROM flights f JOIN airports a ON f.destairport = a.airportcode WHERE a.city = 'Aberdeen',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.destairport = T2.airportcode WHERE T2.city = 'Aberdeen',1,1
Return the number of flights arriving in Aberdeen.,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",SELECT COUNT(*) FROM flights WHERE destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen'),SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.destairport = T2.airportcode WHERE T2.city = 'Aberdeen',1,1
How many flights depart from City 'Aberdeen' and have destination City 'Ashley'?,hard,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",SELECT COUNT(*)  FROM flights f  JOIN airports a1 ON f.sourceairport = a1.airportcode  JOIN airports a2 ON f.destairport = a2.airportcode  WHERE a1.city = 'Aberdeen' AND a2.city = 'Ashley',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.sourceairport = T2.airportcode INNER JOIN airports AS T3 ON T1.destairport = T3.airportcode WHERE T2.city = 'Aberdeen' AND T3.city = 'Ashley',1,1
How many flights fly from Aberdeen to Ashley?,hard,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",SELECT COUNT(*) FROM flights WHERE sourceairport = 'ABZ' AND destairport = 'ACI',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airports AS T2 ON T1.sourceairport = T2.airportcode INNER JOIN airports AS T3 ON T1.destairport = T3.airportcode WHERE T2.city = 'Aberdeen' AND T3.city = 'Ashley',1,1
How many flights does airline 'JetBlue Airways' have?,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T1.Airline  =  T2.uid WHERE T2.Airline = ""JetBlue Airways""",SELECT COUNT(*) FROM flights WHERE airline = 'JetBlue Airways',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'JetBlue Airways',0,0
Give the number of Jetblue Airways flights.,medium,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T1.Airline  =  T2.uid WHERE T2.Airline = ""JetBlue Airways""",SELECT COUNT(*) FROM flights WHERE airline = 'Jetblue Airways',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'Jetblue Airways',0,0
How many 'United Airlines' flights go to Airport 'ASY'?,medium,"SELECT count(*) FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T2.Airline  =  T1.uid WHERE T1.Airline  =  ""United Airlines"" AND T2.DestAirport  =  ""ASY""",SELECT COUNT(*) FROM flights WHERE airline = 'United Airlines' AND destairport = 'ASY',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'United Airlines' AND T1.destairport = 'ASY',1,1
Count the number of United Airlines flights arriving in ASY Airport.,medium,"SELECT count(*) FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T2.Airline  =  T1.uid WHERE T1.Airline  =  ""United Airlines"" AND T2.DestAirport  =  ""ASY""",SELECT COUNT(*) FROM flights WHERE airline = 'United Airlines' AND destairport = 'ASY',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'United Airlines' AND T1.destairport = 'ASY',1,1
How many 'United Airlines' flights depart from Airport 'AHD'?,medium,"SELECT count(*) FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T2.Airline  =  T1.uid WHERE T1.Airline  =  ""United Airlines"" AND T2.SourceAirport  =  ""AHD""",SELECT COUNT(*) FROM flights WHERE airline = 'United Airlines' AND sourceairport = 'AHD',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'United Airlines' AND T1.sourceairport = 'AHD',1,1
Return the number of United Airlines flights leaving from AHD Airport.,medium,"SELECT count(*) FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T2.Airline  =  T1.uid WHERE T1.Airline  =  ""United Airlines"" AND T2.SourceAirport  =  ""AHD""",SELECT COUNT(*) FROM flights WHERE airline = 'United Airlines' AND sourceairport = 'AHD',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'United Airlines' AND T1.sourceairport = 'AHD',1,1
How many United Airlines flights go to City 'Aberdeen'?,hard,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  ""Aberdeen"" AND T3.Airline  =  ""United Airlines""",SELECT COUNT(*) FROM flights WHERE airline = 'United Airlines' AND destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen'),SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'United Airlines' AND T1.destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen'),1,1
Count the number of United Airlines flights that arrive in Aberdeen.,hard,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  ""Aberdeen"" AND T3.Airline  =  ""United Airlines""",SELECT COUNT(*)  FROM flights  WHERE airline = 'United Airlines'  AND destairport = 'ABZ',SELECT COUNT(*) FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.airline = T2.abbreviation WHERE T2.airline = 'United Airlines' AND T1.destairport IN (SELECT airportcode FROM airports WHERE city = 'Aberdeen' AND country = 'United Kingdom'),1,1
Which city has most number of arriving flights?,extra,SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,"SELECT a.city, COUNT(*) AS num_arriving_flights FROM flights f JOIN airports a ON f.destairport = a.airportcode GROUP BY a.city ORDER BY num_arriving_flights DESC LIMIT 1","SELECT T2.city, COUNT(T3.flightno) AS flight_count FROM flights AS T3 INNER JOIN airports AS T2 ON T3.destairport = T2.airportcode GROUP BY T2.city ORDER BY flight_count DESC LIMIT 1",1,1
Which city has the most frequent destination airport?,extra,SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,"SELECT city, COUNT(*) AS frequency FROM airports GROUP BY city ORDER BY frequency DESC LIMIT 1","SELECT T2.city, COUNT(T3.destairport) AS freq FROM flights AS T3 INNER JOIN airports AS T2 ON T3.destairport = T2.airportcode GROUP BY T3.destairport ORDER BY freq DESC LIMIT 1",0,1
Which city has most number of departing flights?,extra,SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.SourceAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,"SELECT a.city, COUNT(f.sourceairport) AS num_departing_flights FROM flights f JOIN airports a ON f.sourceairport = a.airportcode GROUP BY a.city ORDER BY num_departing_flights DESC LIMIT 1","SELECT T2.city, COUNT(T3.flightno) AS flight_count FROM airlines AS T1 INNER JOIN airports AS T2 ON T1.country = T2.country INNER JOIN flights AS T3 ON T1.abbreviation = T3.airline WHERE T3.sourceairport = T2.airportcode GROUP BY T2.city ORDER BY flight_count DESC LIMIT 1",1,1
Which city is the most frequent source airport?,extra,SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.SourceAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,"SELECT sourceairport, COUNT(*) AS frequency FROM flights GROUP BY sourceairport ORDER BY frequency DESC LIMIT 1","SELECT T2.city, COUNT(T3.sourceairport) AS SourceCount FROM flights AS T3 INNER JOIN airports AS T2 ON T3.sourceairport = T2.airportcode GROUP BY T3.sourceairport ORDER BY SourceCount DESC LIMIT 1",0,1
What is the code of airport that has the highest number of flights?,extra,SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) DESC LIMIT 1,SELECT a.airportcode FROM airports a JOIN flights f ON a.airportcode = f.sourceairport OR a.airportcode = f.destairport GROUP BY a.airportcode ORDER BY COUNT(*) DESC LIMIT 1,NULL,1,0
What is the airport code of the airport with the most flights?,extra,SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) DESC LIMIT 1,SELECT destairport AS airportcode FROM flights GROUP BY destairport ORDER BY COUNT(*) DESC LIMIT 1,NULL,0,0
What is the code of airport that has fewest number of flights?,extra,SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) LIMIT 1,SELECT a.airportcode FROM airports a JOIN flights f ON a.airportcode = f.sourceairport OR a.airportcode = f.destairport GROUP BY a.airportcode ORDER BY COUNT(*) ASC LIMIT 1,NULL,1,0
Give the code of the airport with the least flights.,extra,SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) LIMIT 1,"SELECT a.airportcode, a.airportname, COUNT(f.flightno) AS flight_count FROM airports a LEFT JOIN flights f ON a.airportcode = f.sourceairport OR a.airportcode = f.destairport GROUP BY a.airportcode, a.airportname ORDER BY flight_count ASC LIMIT 1",NULL,0,0
