Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
What are the makers and models?,medium,"SELECT Maker ,  Model FROM MODEL_LIST;","SELECT maker, model FROM model_list","SELECT maker, model FROM model_list  Step-by-Step Sub-Questions: . What table contains information about car makers and models? 2. Which columns in this table store the maker and model information? 3. How can we select the maker and model columns from the table?",1,0
What are the countries having at least one car maker? List name and id.,medium,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;","SELECT T1.countryname, T1.countryid FROM countries AS T1 JOIN car_makers AS T2 ON T1.countryid = T2.country GROUP BY T1.countryid HAVING COUNT(T2.id) >= 1","SELECT T1.country, T1.id FROM car_makers AS T1 INNER JOIN countries AS T2 ON T1.country = T2.countryid GROUP BY T1.country HAVING COUNT(*) >= 1",1,0
What are the names and ids of all countries with at least one car maker?,medium,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;","SELECT T1.countryname, T1.countryid FROM countries AS T1 JOIN car_makers AS T2 ON T1.countryid = T2.country GROUP BY T1.countryid HAVING COUNT(T2.id) >= 1","SELECT T1.countryname, T1.countryid FROM countries AS T1 INNER JOIN car_makers AS T2 ON T1.countryid = T2.country GROUP BY T1.countryid HAVING COUNT(T2.id) >= 1",1,1
What is the number of the cars with horsepower more than 150?,easy,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,SELECT COUNT(*) FROM cars_data WHERE horsepower > 150,SELECT COUNT(*) FROM cars_data WHERE horsepower > 150,1,1
What is the number of cars with a horsepower greater than 150?,easy,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,SELECT COUNT(*) FROM cars_data WHERE horsepower > 150,SELECT COUNT(*) FROM cars_data WHERE horsepower > 150,1,1
What is the average weight of cars each year?,medium,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;","SELECT AVG(weight), year FROM cars_data GROUP BY year","SELECT AVG(T1.weight), T1.year FROM cars_data AS T1 GROUP BY T1.year  Step-by-Step Sub-Questions: 1. What data are we interested in for each car? 2. How can we group the data to find the average weight per year? 3. What SQL function should we use to calculate the average weight? 4. What column should we group by to get the average weight for each year?",1,0
What is the average weight and year for each year?,medium,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;","SELECT AVG(weight), year FROM cars_data GROUP BY year","SELECT AVG(weight), year FROM cars_data GROUP BY year",1,1
Which countries in europe have at least 3 car manufacturers?,extra,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,"Select the countryname from the countries table where the continent is 'Europe' and the countryid is in a subquery that counts the number of car manufacturers per country, filtering for those with at least 3 manufacturers.  SQLite Query: SELECT T1.countryname FROM countries AS T1 WHERE T1.continent = 'Europe' AND T1.countryid IN ( SELECT T2.countryid FROM car_makers AS T2 GROUP BY T2.countryid HAVING COUNT(T2.countryid) >= 3 ) ",SELECT T2.countryname FROM car_makers AS T1 INNER JOIN countries AS T2 ON T1.country = T2.countryid WHERE T2.continent = 'Europe' GROUP BY T2.countryname HAVING COUNT(T1.id) >= 3,0,0
What are the names of all European countries with at least 3 manufacturers?,extra,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,SELECT T1.countryname FROM countries AS T1 JOIN car_makers AS T2 ON T1.countryid = T2.country WHERE T1.continent = 'Europe' GROUP BY T1.countryname HAVING COUNT(T2.id) >= 3,SELECT T2.countryname FROM car_makers AS T1 INNER JOIN countries AS T2 ON T1.country = T2.countryid WHERE T2.continent = 'Europe' GROUP BY T2.countryid HAVING COUNT(T1.id) >= 3,0,0
What is the maximum horsepower and the make of the car models with 3 cylinders?,extra,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;","SELECT MAX(T1.horsepower), T2.make FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.id = T2.makeid WHERE T1.cylinders = 3","SELECT MAX(T1.horsepower), T2.make FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.makeid = T2.makeid WHERE T1.cylinders = 3 GROUP BY T2.make  Step-by-Step Sub-Questions: 1. What car models have 3 cylinders? 2. For each of these models, what is the horsepower? 3. What is the make of each of these models? 4. What is the maximum horsepower among these models? 5. Group the results by the make of the car models.",1,0
What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,extra,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;","SELECT T1.horsepower, T2.make FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.id = T2.makeid WHERE T1.cylinders = 3 ORDER BY T1.horsepower DESC LIMIT 1","SELECT T1.model, T1.make FROM car_names AS T1 INNER JOIN model_list AS T2 ON T1.modelid = T2.modelid WHERE T2.cylinders = 3 ORDER BY T1.horsepower DESC LIMIT 1",1,0
"Which model saves the most gasoline? That is to say, have the maximum miles per gallon.",hard,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;,SELECT model FROM model_list ORDER BY mpg DESC LIMIT 1,SELECT model FROM model_list WHERE mpg = (SELECT MAX(mpg) FROM cars_data),0,0
What is the car model with the highest mpg ?,hard,select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;,SELECT model FROM model_list ORDER BY mpg DESC LIMIT 1,"SELECT T1.model FROM model_list AS T1 INNER JOIN cars_data AS T2 ON T1.modelid = T2.modelid ORDER BY T2.mpg DESC LIMIT 1  Step-by-Step Sub-Questions: . What car models are available in the database? 2. Among these models, which ones have the highest mpg? 3. How can we order the car models by their mpg in descending order? 4. Which car model has the highest mpg? 5. What is the name of this car model?",0,0
What is the average horsepower of the cars before 1980?,easy,SELECT avg(horsepower) FROM CARS_DATA WHERE YEAR  <  1980;,SELECT AVG(horsepower) FROM cars_data WHERE year < 1980,SELECT AVG(horsepower) FROM cars_data WHERE year < 1980,1,1
What is the average horsepower for all cars produced before 1980 ?,easy,select avg(horsepower) from cars_data where year  <  1980;,SELECT AVG(horsepower) FROM cars_data WHERE year < 1980,SELECT AVG(horsepower) FROM cars_data WHERE year < 1980  Step-by-Step Sub-Questions: . What is the table that contains information about cars? 2. What column in the table contains the horsepower of the cars? 3. What column in the table contains the year the cars were produced? 4. What condition should be applied to the year column to filter cars produced before 1980? 5. What function should be used to calculate the average horsepower of the filtered cars?,1,0
What is the average edispl of the cars of model volvo?,medium,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,SELECT AVG(T1.edispl) FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.id = T2.makeid WHERE T2.model = 'volvo',SELECT AVG(T1.edispl) FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.makeid = T2.makeid WHERE T2.model = 'volvo',1,0
What is the average edispl for all volvos?,medium,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,SELECT AVG(T1.edispl) FROM cars_data AS T1 INNER JOIN car_names AS T2 ON T1.id = T2.makeid WHERE T2.make = 'volvo',SELECT AVG(T1.edispl) FROM cars_data AS T1 INNER JOIN car_makers AS T2 ON T1.makeid = T2.id WHERE T2.maker = 'volvo',0,0
What is the maximum accelerate for different number of cylinders?,medium,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;","SELECT max(accelerate), cylinders FROM cars_data GROUP BY cylinders","SELECT max(accelerate), cylinders FROM cars_data GROUP BY cylinders",1,1
What is the maximum accelerate for all the different cylinders?,medium,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;","SELECT max(accelerate) ,  cylinders FROM cars_data GROUP BY cylinders","SELECT MAX(accelerate), cylinders FROM cars_data GROUP BY cylinders",1,1
Which model has the most version(make) of cars?,hard,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,SELECT model FROM car_names GROUP BY model ORDER BY COUNT(DISTINCT make) DESC LIMIT 1,SELECT T1.model FROM model_list AS T1 INNER JOIN car_names AS T2 ON T1.modelid = T2.model GROUP BY T1.model ORDER BY COUNT(*) DESC LIMIT 1,1,0
What model has the most different versions?,hard,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,NULL,SELECT T1.model FROM model_list AS T1 INNER JOIN car_names AS T2 ON T1.modelid = T2.modelid GROUP BY T1.model ORDER BY COUNT(DISTINCT T2.make) DESC LIMIT 1,0,0
How many cars have more than 4 cylinders?,easy,SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,SELECT COUNT(*) FROM cars_data WHERE cylinders > 4,SELECT COUNT(*) FROM cars_data WHERE cylinders > 4,1,1
What is the number of cars with more than 4 cylinders?,easy,SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,SELECT COUNT(*) FROM cars_data WHERE cylinders > 4,SELECT COUNT(*) FROM cars_data WHERE cylinders > 4,1,1
how many cars were produced in 1980?,easy,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,NULL,SELECT COUNT(*) FROM cars_data WHERE year = 1980,0,1
"In 1980, how many cars were made?",easy,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,NULL,SELECT COUNT(*) FROM cars_data WHERE year = 1980,0,1
How many car models were produced by the maker with full name American Motor Company?,medium,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,NULL,SELECT COUNT(*) FROM car_makers AS T1 INNER JOIN model_list AS T2 ON T1.id = T2.maker WHERE T1.fullname = 'American Motor Company',0,1
What is the number of car models created by the car maker American Motor Company?,medium,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,NULL,SELECT COUNT(*) FROM car_makers AS T1 INNER JOIN model_list AS T2 ON T1.id = T2.maker WHERE T1.maker = 'American Motor Company',0,0
Which makers designed more than 3 car models? List full name and the id.,medium,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT maker, fullname, id FROM car_makers WHERE id IN ( SELECT maker FROM model_list GROUP BY maker HAVING COUNT(model) > 3 ) ",NULL,0,0
What are the names and ids of all makers with more than 3 models?,medium,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT maker, id FROM car_makers WHERE id IN ( SELECT maker FROM model_list GROUP BY maker HAVING COUNT(model) > 3 ) ","SELECT maker, id FROM car_makers WHERE id IN (SELECT maker FROM model_list GROUP BY maker HAVING COUNT(model) > 3)",0,0
Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,extra,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,SELECT DISTINCT T1.model FROM model_list AS T1 INNER JOIN cars_data AS T2 ON T1.maker = T2.maker WHERE T1.maker = 'General Motors' OR T2.weight > 3500,SELECT DISTINCT T1.model FROM model_list AS T1 INNER JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'General Motors' OR T1.edispl > 3500,0,0
What are the different models created by either the car maker General Motors or weighed more than 3500?,extra,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,SELECT DISTINCT T1.model FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'General Motors' OR T1.edispl > 3500,SELECT DISTINCT T2.model FROM car_makers AS T1 INNER JOIN model_list AS T2 ON T1.id = T2.maker WHERE T1.maker = 'General Motors' OR T2.weight > 3500,0,0
In which years cars were produced weighing no less than 3000 and no more than 4000 ?,easy,select distinct year from cars_data where weight between 3000 and 4000;,"Select the distinct years from the cars_data table where the weight is between 3000 and 4000. To optimize the query, use the BETWEEN operator instead of multiple conditions with AND. ",SELECT DISTINCT year FROM cars_data WHERE weight BETWEEN 3000 AND 4000,0,1
What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000 ?,easy,select distinct year from cars_data where weight between 3000 and 4000;,SELECT DISTINCT year FROM cars_data WHERE weight < 4000 AND weight > 3000,SELECT DISTINCT T1.year FROM cars_data AS T1 WHERE T1.weight < 4000 INTERSECT SELECT DISTINCT T1.year FROM cars_data AS T1 WHERE T1.weight > 3000,1,1
What is the horsepower of the car with the largest accelerate?,medium,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,SELECT horsepower FROM cars_data ORDER BY accelerate DESC LIMIT 1,SELECT horsepower FROM cars_data ORDER BY accelerate DESC LIMIT 1  Step-by-Step Sub-Questions: 1. What is the horsepower of a car? 2. How can we find the car with the largest accelerate? 3. How do we order the cars by their accelerate value? 4. How do we limit the result to only the car with the largest accelerate? 5. What is the horsepower of the car with the largest accelerate?,1,0
What is the horsepower of the car with the greatest accelerate?,medium,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,SELECT horsepower FROM cars_data ORDER BY accelerate DESC LIMIT 1,SELECT horsepower FROM cars_data ORDER BY accelerate DESC LIMIT 1  Step-by-Step Sub-Questions: 1. What is the horsepower of cars? 2. What is the acceleration of cars? 3. How can we order cars by their acceleration in descending order? 4. How can we limit the result to the car with the greatest acceleration? 5. What is the horsepower of the car with the greatest acceleration?,1,0
"For model volvo, how many cylinders does the car with the least accelerate have?",extra,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,NULL,NULL,0,0
"For a volvo model, how many cylinders does the version with least accelerate have?",extra,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,NULL,NULL,0,0
How many cars have a larger accelerate than the car with the largest horsepower?,hard,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,NULL,SELECT COUNT(*) FROM cars_data WHERE accelerate > (SELECT MAX(horsepower) FROM cars_data),0,0
What is the number of cars with a greater accelerate than the one with the most horsepower?,hard,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,NULL,SELECT COUNT(*) FROM cars_data WHERE accelerate > (SELECT MAX(horsepower) FROM cars_data),0,0
How many countries has more than 2 car makers ?,medium,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT COUNT(*) FROM ( SELECT country FROM car_makers GROUP BY country HAVING COUNT(*) > 2 ) AS T1,SELECT COUNT(*) FROM ( SELECT T1.country FROM car_makers AS T1 INNER JOIN countries AS T2 ON T1.country = T2.countryid GROUP BY T1.country HAVING COUNT(*) > 2 ) AS T3  Step-by-Step Sub-Questions: . What countries have car makers? 2. How many car makers are in each country? 3. Which countries have more than 2 car makers? 4. How many such countries are there?,0,0
What is the number of countries with more than 2 car makers ?,medium,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,SELECT COUNT(*) FROM ( SELECT country FROM car_makers GROUP BY country HAVING COUNT(*) > 2 ) AS T1,SELECT COUNT(*) FROM ( SELECT T1.country FROM car_makers AS T1 INNER JOIN countries AS T2 ON T1.country = T2.countryid GROUP BY T1.country HAVING COUNT(*) > 2 ) AS T3  Step-by-Step Sub-Questions: . What countries have car makers? 2. How many car makers are in each country? 3. Which countries have more than 2 car makers? 4. How many such countries are there?,0,0
How many cars has over 6 cylinders?,easy,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,SELECT COUNT(*) FROM cars_data WHERE cylinders > 6,SELECT COUNT(*) FROM cars_data WHERE cylinders > 6,1,1
What is the number of carsw ith over 6 cylinders?,easy,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,SELECT COUNT(*) FROM cars_data WHERE cylinders > 6,SELECT COUNT(*) FROM cars_data WHERE cylinders > 6,1,1
"For the cars with 4 cylinders, which model has the largest horsepower?",extra,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,NULL,"SELECT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.maker = T2.maker WHERE T1.cylinders = 4 ORDER BY T1.horsepower DESC LIMIT 1  Step-by-Step Sub-Questions: 1. What cars have 4 cylinders? 2. Among these cars, which models have the largest horsepower? 3. What is the model name of the car with the largest horsepower?",0,0
"For all of the 4 cylinder cars, which model has the most horsepower?",extra,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,NULL,SELECT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.maker = T2.maker WHERE T1.cylinders = 4 ORDER BY T1.horsepower DESC LIMIT 1,0,0
"Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.",extra,"SELECT T2.MakeId ,  T2.Make FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Horsepower  >  (SELECT min(Horsepower) FROM CARS_DATA) AND T1.Cylinders  <=  3;",Select the car makeid and make name from the car_names table where the car makeid is in the list of car makeids from the cars_data table where the horsepower is greater than the minimum horsepower and the cylinders are less than or equal to 3.  SQLite Query: ,"SELECT T1.makeid, T1.make FROM car_names AS T1 INNER JOIN cars_data AS T2 ON T1.makeid = T2.id WHERE T2.horsepower > ( SELECT MIN(horsepower) FROM cars_data ) AND T2.cylinders <= 3",0,1
"Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",extra,"select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;","SELECT T1.makeid , T1.model FROM car_names AS T1 JOIN cars_data AS T2 ON T1.makeid = T2.id WHERE T2.horsepower > ( SELECT MIN(horsepower) FROM cars_data ) AND T2.cylinders < 4","SELECT T1.makeid, T1.model FROM car_names AS T1 INNER JOIN cars_data AS T2 ON T1.makeid = T2.id WHERE T2.horsepower > ( SELECT MIN(horsepower) FROM cars_data ) AND T2.cylinders < 4",0,0
What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980 ?,medium,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,SELECT max(mpg) FROM cars_data WHERE cylinders = 8 OR year < 1980,SELECT MAX(mpg) FROM cars_data WHERE cylinders = 8 OR year < 1980,1,1
What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980 ?,medium,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,SELECT max(mpg) FROM cars_data WHERE cylinders = 8 OR year < 1980,SELECT MAX(mpg) FROM cars_data WHERE cylinders = 8 OR year < 1980,1,1
Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,extra,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT T1.model FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid NOT IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make = 'Ford Motor Company' AND T1.modelid IN ( SELECT T1.modelid FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE,SELECT T1.model FROM model_list AS T1 INNER JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T1.maker != 'Ford Motor Company' AND T2.weight < 3500,0,0
What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,extra,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT DISTINCT T1.model FROM model_list AS T1 JOIN car_names AS T2 ON T1.modelid = T2.modelid WHERE T2.make != 'Ford Motor Company' AND T1.edispl < 3500,SELECT DISTINCT T2.model FROM cars_data AS T1 INNER JOIN model_list AS T2 ON T1.model = T2.modelid WHERE T1.weight < 3500 AND T2.maker != 'Ford Motor Company',0,0
What are the name of the countries where there is not a single car maker?,hard,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryid NOT IN ( SELECT country FROM car_makers ) ,NULL,1,0
What are the names of the countries with no car makers?,hard,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryid NOT IN (SELECT country FROM car_makers),SELECT countryname FROM countries WHERE countryid NOT IN (SELECT country FROM car_makers),1,1
Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,extra,"select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;","SELECT maker, id FROM car_makers WHERE maker IN ( SELECT maker FROM model_list GROUP BY maker HAVING COUNT(model) >= 2 ) AND maker IN ( SELECT maker FROM car_makers GROUP BY maker HAVING COUNT(id) > 3 ) ","SELECT maker, id FROM car_makers WHERE id IN ( SELECT maker FROM model_list GROUP BY maker HAVING COUNT(*) >= 2 ) AND maker IN ( SELECT maker FROM car_makers GROUP BY maker HAVING COUNT(*) > 3 )",0,0
What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,extra,"SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >=  2 INTERSECT SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model GROUP BY T1.Id HAVING count(*)  >  3;","SELECT T1.id, T1.maker FROM car_makers AS T1 JOIN model_list AS T2 ON T1.id = T2.maker JOIN car_names AS T3 ON T2.model = T3.model WHERE T3.make > 3 GROUP BY T1.id HAVING COUNT(T2.model) >= 2","SELECT T1.id, T1.maker FROM car_makers AS T1 INNER JOIN model_list AS T2 ON T1.id = T2.maker INNER JOIN car_names AS T3 ON T2.model = T3.model WHERE T3.makeid IN (SELECT T3.makeid FROM car_names AS T3 INNER JOIN model_list AS T2 ON T3.model = T2.model GROUP BY T3.makeid HAVING COUNT(*) >= 2) AND T1.id IN (SELECT T1.id FROM car_makers AS T1 INNER JOIN cars_data AS T2 ON T1.id = T2.makeid GROUP BY T1.id HAVING COUNT(*) > 3)",0,0
